wr_level,minute,count,avg_target_networth_diff,avg_target_networth_diff_raw,median_target_networth_diff,median_target_networth_diff_raw,min_target_networth_diff,max_target_networth_diff
60,20,83,-3569.63,-3569.63,-2958.0,-2958.0,-16269.0,-64.0
60,21,82,-3779.96,-3779.96,-2961.0,-2961.0,-18742.0,-47.0
60,22,75,-4129.48,-4129.48,-3108.0,-3108.0,-21136.0,-45.0
60,23,68,-4502.32,-4502.32,-3977.5,-3977.5,-18999.0,-202.0
60,24,68,-4799.9,-4799.9,-3977.5,-3608.5,-20691.0,-14.0
60,25,64,-5148.47,-5148.47,-3977.5,-3656.0,-20543.0,-36.0
60,26,61,-5148.47,-4864.52,-3977.5,-3465.0,-20721.0,-75.0
60,27,52,-5686.58,-5686.58,-4447.0,-4447.0,-21359.0,-42.0
60,28,53,-6033.3,-6033.3,-4977.0,-4977.0,-19479.0,-164.0
60,29,50,-6034.58,-6034.58,-4977.0,-4647.5,-17368.0,-12.0
60,30,48,-6297.94,-6297.94,-4977.0,-4707.0,-19499.0,-363.0
60,31,46,-6297.94,-5975.17,-4977.0,-3694.0,-20963.0,-440.0
60,32,46,-6297.94,-5717.93,-4977.0,-4685.0,-22046.0,-10.0
60,33,45,-6297.94,-5965.67,-5020.0,-5020.0,-20904.0,-342.0
60,34,40,-6653.73,-6653.73,-5780.5,-5780.5,-24689.0,-508.0
60,35,39,-6737.03,-6737.03,-5780.5,-5171.0,-25038.0,-203.0
60,36,44,-6737.03,-6186.8,-5780.5,-4295.0,-25016.0,-135.0
60,37,38,-6737.03,-6088.03,-5780.5,-3878.0,-22114.0,-89.0
60,38,35,-6737.03,-6570.0,-5780.5,-4176.0,-22396.0,-84.0
60,39,32,-6784.38,-6784.38,-5780.5,-4659.5,-21371.0,-161.0
60,40,34,-6784.38,-5944.76,-5780.5,-3354.5,-22433.0,-149.0
60,41,32,-6784.38,-6211.47,-5780.5,-4791.5,-19664.0,-254.0
60,42,27,-7458.33,-7458.33,-7283.0,-7283.0,-19716.0,-364.0
60,43,22,-7481.95,-7481.95,-7283.0,-6629.0,-20157.0,-272.0
60,44,22,-7503.64,-7503.64,-7283.0,-7182.0,-19505.0,-704.0
60,45,21,-7781.24,-7781.24,-7283.0,-6780.0,-20247.0,-472.0
60,46,18,-8754.83,-8754.83,-8426.5,-8426.5,-18465.0,-175.0
60,47,16,-8754.83,-8190.75,-8426.5,-4217.5,-21236.0,-147.0
60,48,13,-10558.31,-10558.31,-10042.0,-10042.0,-22941.0,-643.0
60,49,12,-12389.5,-12389.5,-12496.5,-12496.5,-23485.0,-2232.0
60,50,11,-12398.09,-12398.09,-12496.5,-11217.0,-25364.0,-3415.0
60,51,9,-13007.11,-13007.11,-12764.0,-12764.0,-30446.0,-2215.0
60,52,9,-14442.78,-14442.78,-14272.0,-14272.0,-25906.0,-5550.0
60,53,10,-14442.78,-10719.0,-14272.0,-6704.5,-25878.0,-3054.0
60,54,9,-14442.78,-10418.67,-14272.0,-10491.0,-25189.0,-2534.0
60,55,8,-14442.78,-11174.0,-14272.0,-10318.5,-29759.0,-4067.0
60,56,9,-14442.78,-8439.33,-14272.0,-4416.0,-28112.0,-2536.0
60,57,7,-14442.78,-9434.14,-14272.0,-8130.0,-20562.0,-1014.0
