wr_level,minute,count,avg_target_networth_diff,avg_target_networth_diff_piecewise_time_only,avg_target_networth_diff_base_monotonic,avg_target_networth_diff_raw,median_target_networth_diff,median_target_networth_diff_piecewise_time_only,median_target_networth_diff_base_monotonic,median_target_networth_diff_raw,min_target_networth_diff,max_target_networth_diff
60,20,83,-3569.63,-3569.63,-3569.63,-3569.63,-2958.0,-2958.0,-2958.0,-2958.0,-16269.0,-64.0
60,21,82,-3809.48,-3809.48,-3779.96,-3779.96,-3261.63,-3261.63,-2961.0,-2961.0,-18742.0,-47.0
60,22,75,-4129.48,-4129.48,-4129.48,-4129.48,-3596.43,-3596.43,-3108.0,-3108.0,-21136.0,-45.0
60,23,68,-4502.32,-4502.32,-4502.32,-4502.32,-3977.5,-3977.5,-3977.5,-3977.5,-18999.0,-202.0
60,24,68,-4804.84,-4804.84,-4799.9,-4799.9,-4385.78,-4385.78,-3977.5,-3608.5,-20691.0,-14.0
60,25,64,-5148.47,-5148.47,-5148.47,-5148.47,-4835.97,-4835.97,-3977.5,-3656.0,-20543.0,-36.0
60,26,61,-5494.41,-5494.41,-5148.47,-4864.52,-5332.37,-5332.37,-3977.5,-3465.0,-20721.0,-75.0
60,27,52,-5863.59,-5863.59,-5686.58,-5686.58,-5879.72,-5879.72,-4447.0,-4447.0,-21359.0,-42.0
60,28,53,-6257.58,-6257.58,-6033.3,-6033.3,-6483.26,-6483.26,-4977.0,-4977.0,-19479.0,-164.0
60,29,50,-6678.04,-6678.04,-6034.58,-6034.58,-7148.75,-7148.75,-4977.0,-4647.5,-17368.0,-12.0
60,30,48,-7126.75,-7126.75,-6297.94,-6297.94,-7882.55,-7882.55,-4977.0,-4707.0,-19499.0,-363.0
60,31,46,-7315.89,-7315.89,-6297.94,-5975.17,-8462.01,-8462.01,-4977.0,-3694.0,-20963.0,-440.0
60,32,46,-7510.05,-7510.05,-6297.94,-5717.93,-9084.07,-9084.07,-4977.0,-4685.0,-22046.0,-10.0
60,33,45,-7709.37,-7709.37,-6297.94,-5965.67,-9751.86,-9751.86,-5020.0,-5020.0,-20904.0,-342.0
60,34,40,-7913.98,-7913.98,-6653.73,-6653.73,-10468.74,-10468.74,-5780.5,-5780.5,-24689.0,-508.0
60,35,39,-8124.02,-8124.02,-6737.03,-6737.03,-11238.32,-11238.32,-5780.5,-5171.0,-25038.0,-203.0
60,36,44,-8339.63,-8339.63,-6737.03,-6186.8,-12064.47,-12064.47,-5780.5,-4295.0,-25016.0,-135.0
60,37,38,-8560.96,-8560.96,-6737.03,-6088.03,-12951.35,-12951.35,-5780.5,-3878.0,-22114.0,-89.0
60,38,35,-8788.17,-8788.17,-6737.03,-6570.0,-13903.43,-13903.43,-5780.5,-4176.0,-22396.0,-84.0
60,39,32,-9021.41,-9021.41,-6784.38,-6784.38,-14925.5,-14925.5,-5780.5,-4659.5,-21371.0,-161.0
60,40,34,-9260.84,-9260.84,-6784.38,-5944.76,-16022.71,-16022.71,-5780.5,-3354.5,-22433.0,-149.0
60,41,32,-9922.1,-9922.1,-6784.38,-6211.47,-18992.52,-18992.52,-5780.5,-4791.5,-19664.0,-254.0
60,42,27,-10630.57,-10630.57,-7458.33,-7458.33,-22512.79,-22512.79,-7283.0,-7283.0,-19716.0,-364.0
60,43,22,-11389.63,-11389.63,-7481.95,-7481.95,-26685.54,-26685.54,-7283.0,-6629.0,-20157.0,-272.0
60,44,22,-12202.89,-12202.89,-7503.64,-7503.64,-31631.71,-31631.71,-7283.0,-7182.0,-19505.0,-704.0
60,45,21,-13074.22,-13074.22,-7781.24,-7781.24,-37494.66,-37494.66,-7283.0,-6780.0,-20247.0,-472.0
60,46,18,-14007.77,-14007.77,-8754.83,-8754.83,-44444.31,-44444.31,-8426.5,-8426.5,-18465.0,-175.0
60,47,16,-15007.97,-15007.97,-8754.83,-8190.75,-52682.08,-52682.08,-8426.5,-4217.5,-21236.0,-147.0
60,48,13,-16079.59,-16079.59,-10558.31,-10558.31,-62446.72,-62446.72,-10042.0,-10042.0,-22941.0,-643.0
60,49,12,-17227.73,-17227.73,-12389.5,-12389.5,-74021.24,-74021.24,-12496.5,-12496.5,-23485.0,-2232.0
60,50,11,-18457.85,-18457.85,-12398.09,-12398.09,-87741.1,-87741.1,-12496.5,-11217.0,-25364.0,-3415.0
60,51,9,-19775.81,-19775.81,-13007.11,-13007.11,-104003.94,-104003.94,-12764.0,-12764.0,-30446.0,-2215.0
60,52,9,-21187.87,-21187.87,-14442.78,-14442.78,-123281.1,-123281.1,-14272.0,-14272.0,-25906.0,-5550.0
60,53,10,-22700.76,-22700.76,-14442.78,-10719.0,-146131.29,-146131.29,-14272.0,-6704.5,-25878.0,-3054.0
60,54,9,-24321.67,-24321.67,-14442.78,-10418.67,-173216.77,-173216.77,-14272.0,-10491.0,-25189.0,-2534.0
60,55,8,-26058.32,-26058.32,-14442.78,-11174.0,-205322.56,-205322.56,-14272.0,-10318.5,-29759.0,-4067.0
60,56,9,-27918.98,-27918.98,-14442.78,-8439.33,-243379.16,-243379.16,-14272.0,-4416.0,-28112.0,-2536.0
60,57,7,-29912.49,-29912.49,-14442.78,-9434.14,-288489.57,-288489.57,-14272.0,-8130.0,-20562.0,-1014.0
65,20,286,-3668.94,-3565.42,-3565.42,-3565.42,-2987.58,-2803.5,-2803.5,-2803.5,-16517.0,-2.0
65,21,287,-3915.46,-3746.38,-3746.38,-3746.38,-3294.25,-3029.0,-3029.0,-3029.0,-18699.0,-18.0
65,22,270,-4244.36,-4128.01,-4128.01,-4128.01,-3632.39,-3543.5,-3543.5,-3543.5,-16890.0,-43.0
65,23,250,-4627.57,-4357.32,-4357.32,-4357.32,-4017.28,-3827.15,-3543.5,-3541.5,-15419.0,-31.0
65,24,257,-4938.51,-4577.77,-4417.08,-4417.08,-4429.64,-4133.51,-3543.5,-3517.0,-18448.0,-7.0
65,25,244,-5291.7,-4809.37,-4632.95,-4632.95,-4884.33,-4464.39,-3915.5,-3915.5,-19696.0,-13.0
65,26,234,-5647.26,-5052.69,-4950.09,-4950.09,-5385.69,-4821.76,-4075.0,-4075.0,-19585.0,-27.0
65,27,227,-6026.72,-5308.32,-5203.89,-5203.89,-5938.52,-5207.73,-4122.0,-4122.0,-19817.0,-15.0
65,28,231,-6431.67,-5576.88,-5203.89,-4981.29,-6548.09,-5624.6,-4122.0,-3960.0,-22352.0,-12.0
65,29,229,-6863.82,-5859.03,-5260.06,-5260.06,-7220.24,-6074.84,-4122.0,-4113.0,-21777.0,-55.0
65,30,217,-7325.02,-6155.46,-5260.06,-5243.65,-7961.38,-6561.12,-4377.0,-4377.0,-20592.0,-24.0
65,31,200,-7519.42,-6450.06,-5661.05,-5661.05,-8546.63,-6943.75,-4951.5,-4951.5,-23713.0,-55.0
65,32,194,-7718.98,-6758.75,-5820.06,-5820.06,-9174.91,-7348.69,-5107.0,-5107.0,-25405.0,-27.0
65,33,181,-7923.84,-7082.22,-6094.2,-6094.2,-9849.38,-7777.24,-5202.0,-5202.0,-19038.0,-21.0
65,34,164,-8134.15,-7421.17,-6520.09,-6520.09,-10573.43,-8230.79,-5357.5,-5357.5,-22464.0,-36.0
