hero_id,aggression,feed,pace,gpm,total_matches
1,0.4424,0.1327,2408.5,672.8,147682
2,0.5605,0.2164,2452.8,517.8,213483
3,0.569,0.2209,2411.7,320.1,46295
4,0.5071,0.159,2472.9,611.1,22379
5,0.5573,0.2308,2391.2,358.3,109331
6,0.4824,0.146,2472.8,633.4,117502
7,0.5598,0.1842,2475.6,511.4,271135
8,0.4678,0.1353,2400.3,669.2,169601
9,0.5922,0.177,2387.4,384.5,60344
10,0.4237,0.1228,2318.4,658.3,168995
11,0.4953,0.1598,2418.0,651.9,194832
12,0.4376,0.121,2454.7,645.2,55841
13,0.5579,0.1445,2409.9,587.7,183436
14,0.5564,0.2409,2402.8,407.3,399255
15,0.527,0.1881,2448.4,568.0,55244
16,0.5204,0.1905,2489.0,534.7,82553
17,0.5547,0.1578,2390.2,575.3,144021
18,0.4574,0.1396,2432.9,700.3,124768
19,0.5293,0.1597,2381.8,571.5,174076
20,0.5704,0.2565,2395.1,425.7,128619
21,0.5592,0.1781,2439.2,425.9,160568
22,0.6526,0.1822,2442.3,458.4,192097
23,0.5452,0.1568,2466.4,572.0,85707
25,0.4788,0.1709,2444.6,612.8,64937
26,0.5295,0.2434,2435.6,336.7,250143
27,0.5576,0.2369,2383.6,354.4,234338
28,0.5549,0.1824,2375.5,507.0,90475
29,0.5305,0.1637,2360.7,503.3,122042
30,0.5665,0.2458,2450.9,386.1,144185
31,0.5812,0.2452,2463.7,365.3,106534
32,0.5596,0.1911,2457.7,511.8,50038
33,0.5472,0.1994,2424.4,473.0,28574
34,0.4793,0.1356,2446.0,598.7,127382
35,0.5698,0.1615,2468.8,579.2,136540
36,0.5267,0.1758,2388.3,603.3,127207
37,0.5583,0.197,2383.1,385.1,121763
38,0.5286,0.1804,2336.6,583.3,93024
39,0.5878,0.1542,2446.4,570.7,288340
40,0.613,0.2325,2433.4,427.2,105887
41,0.5141,0.1486,2434.9,577.6,83527
42,0.5239,0.1462,2407.8,594.0,152045
