breakdown_by,group,n,resolved_n,accuracy,avg_confidence,avg_edge
bet_side,RADIANT,25,25,0.64,0.6811472849356524,0.18114728493565252
bet_side,SKIP,376,0,,,
radiant_tier,3,314,22,0.6363636363636364,0.6792283928382908,0.1792283928382908
radiant_tier,1,72,3,0.6666666666666666,0.695219160316305,0.19521916031630515
radiant_tier,2,15,0,,,
dire_tier,3,318,18,0.5555555555555556,0.6779195084979941,0.17791950849799412
dire_tier,1,66,4,0.75,0.6715359065578066,0.17153590655780657
dire_tier,2,17,3,1.0,0.7133291147320643,0.21332911473206428
missing_count,7,401,25,0.64,0.6811472849356524,0.18114728493565252
cat_invalid_count,0,401,25,0.64,0.6811472849356524,0.18114728493565252
anti_leakage_zeroed_count,10,401,25,0.64,0.6811472849356524,0.18114728493565252
