bin,n,mean_pred,accuracy,mean_edge
"(0.651, 0.66]",4,0.6538681255163108,0.5,0.15386812551631074
"(0.66, 0.668]",2,0.664550645009741,1.0,0.16455064500974104
"(0.668, 0.676]",1,0.6713135655462112,0.0,0.17131356554621124
"(0.676, 0.684]",4,0.6776840142217524,0.25,0.17768401422175234
"(0.684, 0.691]",3,0.6868194434222318,0.6666666666666666,0.18681944342223175
"(0.691, 0.699]",0,,,
"(0.699, 0.707]",0,,,
"(0.707, 0.715]",0,,,
"(0.715, 0.723]",0,,,
"(0.723, 0.73]",1,0.73038124450305,1.0,0.23038124450304998
